A list of algorithms and their ACSL lemma that had to be verified by Coq

generated in StandardAlgorithms by

find . -name "*_Coq.v" | cut -d "/" -f 3,6 |  sed "s/lemma_//" | sed "s/_Coq.v//" | sed "s/\//\t/" | sort -u


equal_range2	LowerBoundShift
equal_range2	StrictLowerBoundShift
make_heap	HeapMaximum
push_heap	CountSectionUnion
random_shuffle	CountSectionUnion
remove_copy2	CountSectionBounds
remove_copy2	CountSectionMonotonic
remove_copy2	CountSectionUnion
remove		CountSectionUnion
remove		CountShift
remove		HasValueCountInversion
remove		UnchangedShift
sort_heap	CountSectionUnion
sort_heap	HeapMaximum

